"stateHeads__name","stateHeads__country","stateHeads__office","stateHeads__mandate_start","stateHeads__mandate_end","stateHeads__term_length","stateHeads__head_of_state_or_gov","stateHeads__description","stateHeads__img","errorHeads"
"Halimah Yacob","Singapore","President","14 September 2017","Incumbent","2 years, 105 days","Head of state","Halimah binti Yacob (Jawi: حاليمه بنت يعقوب; born 23 August 1954) is a Singaporean politician who is the current President of Singapore. She was elected in an uncontested election in the 2017 Singaporean presidential election. Halimah was sworn in as President on 13 September 2017.","//upload.wikimedia.org/wikipedia/commons/thumb/b/be/Halimah_Yacob_APEC_Women_and_the_Economy_Forum_2012.jpg/220px-Halimah_Yacob_APEC_Women_and_the_Economy_Forum_2012.jpg",""
"Mercedes Aráoz","Peru","Prime Minister","17 September 2017","2 April 2018","197 days","*","Aráoz also served Prime Minister, from 17 September 2017 to 2 April 2018, during Kuczynski's presidency; as well as Minister of Foreign Trade and Tourism from 2006 to July 2009, after which she was appointed Peru's finance minister.","//upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Mercedes_Ar%C3%A1oz_Fern%C3%A1ndez.jpg/220px-Mercedes_Ar%C3%A1oz_Fern%C3%A1ndez.jpg",""
"Jacinda Ardern","New Zealand","Prime Minister","26 October 2017","Incumbent","2 years, 63 days","Head of government","Jacinda Kate Laurell Ardern (/dʒəˈsɪndə ˈɑːrdɜːn/; born 26 July 1980) is a New Zealand politician serving as the 40th Prime Minister of New Zealand since 26 October 2017. She has also served as the Leader of the Labour Party since 1 August 2017. Ardern has been the Member of Parliament (MP) for the Mount Albert electorate since 8 March 2017; she was first elected to the House of Representatives as a list MP at the 2008 general election.","//upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Jacinda_Ardern%2C_2018.jpg/220px-Jacinda_Ardern%2C_2018.jpg",""
"Katrín Jakobsdóttir","Iceland","Prime Minister","30 November 2017","Incumbent","2 years, 28 days","Head of government","Katrín Jakobsdóttir (pronounced [ˈkʰaːtrin ˈjaːkʰɔpsˌtouʰtɪr̥]; born 1 February 1976) is an Icelandic politician serving as the 28th and current Prime Minister of Iceland since 2017. She is the member of the Althing for the Reykjavík North constituency since 2007. She became deputy chairperson of the Left-Green Movement in 2003 and has been their chairperson since 2013. Katrín was Iceland's Minister of Education, Science and Culture and of Nordic Co-operation from 2 February 2009 to 23 May 2013. She is Iceland's second female prime minister after Jóhanna Sigurðardóttir.","//upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Katr%C3%ADn_Jakobsd%C3%B3ttir_at_G%C3%B6teborg_Book_Fair_2012_03_%28cropped%29.jpg/220px-Katr%C3%ADn_Jakobsd%C3%B3ttir_at_G%C3%B6teborg_Book_Fair_2012_03_%28cropped%29.jpg",""
"Viorica Dăncilă","Romania","Prime Minister","29 January 2018","4 November 2019","1 year, 279 days","Head of government","Vasilica Viorica Dăncilă (Romanian pronunciation: [va.siˈli.ka vi.oˈri.ka dənˈtʃi.lə]; born 16 December 1963) is a Romanian politician, former leader of the Social Democratic Party, and was Prime Minister of Romania from 29 January 2018 to 4 November 2019. She was the first woman in Romanian history to hold both the office of Prime Minister and president of the PSD. In 2014, she was elected as a member in the European Parliament for a second term from the PSD. Viorica Dăncilă was also the president of the Social Democratic Women's Organization (OFSD) between 2015 and 2018. ","//upload.wikimedia.org/wikipedia/commons/thumb/7/71/Viorica_D%C4%83ncil%C4%83_June_2019.jpg/220px-Viorica_D%C4%83ncil%C4%83_June_2019.jpg",""
"Paula-Mae Weekes","Trinidad and Tobago","President","19 March 2018","Incumbent","1 year, 284 days","Head of state","HE Paula-Mae Weekes ORTT (born December 23, 1958) is the 6th and current President of Trinidad and Tobago. She took office on 19 March 2018 and became the first woman to hold the office of President.","no image on wikipedia :(",""
"Mia Mottley","Barbados","Prime Minister","25 May 2018","Incumbent","1 year, 217 days","Head of government","Mia Amor Mottley, QC, MP (born 1 October 1965) is a Barbadian politician and attorney who is the current Prime Minister of Barbados and leader of the Barbados Labour Party (BLP). Mottley is the eighth person to hold the position of Prime Minister in Barbados and first woman to hold either position.","//upload.wikimedia.org/wikipedia/commons/thumb/7/79/2019_Mia_Mottley.jpg/220px-2019_Mia_Mottley.jpg",""
"Đặng Thị Ngọc Thịnh","Vietnam","Acting President","21 September 2018","23 October 2018","32 days","Head of state","Đặng Thị Ngọc Thịnh (born 25 December 1959) is a Vietnamese politician who is currently serving as the Vice President of Vietnam, in office since 2016. In this capacity she was the Acting President of Vietnam from the death of President Trần Đại Quang on 21 September 2018 until the election and swearing-in of his successor Nguyễn Phú Trọng on 23 October 2018. Thịnh was the first woman in Vietnamese history to become President or Acting President of Vietnam (in the sense of a constitutional head of state in her own right). She was the first female head of state in a communist country since Soong Ching-ling of China.","https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Dang_Thi_Ngoc_Thing_%28cropped%29.jpg/330px-Dang_Thi_Ngoc_Thing_%28cropped%29.jpg",""
"Sahle-Work Zewde","Ethiopia","President","25 October 2018","Incumbent","1 year, 64 days","Head of state","Sahle-Work Zewde (Ge'ez: ሳህለወርቅ ዘውዴ; born 21 February 1950) is the current President of Ethiopia and the first woman to hold the office. A career diplomat, she was elected president unanimously by members of the Federal Parliamentary Assembly on 25 October 2018.","//upload.wikimedia.org/wikipedia/commons/thumb/2/25/Brahima_Sanou_et_Sahle-Work_Zewde_%C3%A0_UNON%2C_Nairobi%2C_Kenya_%28cropped%29.jpg/220px-Brahima_Sanou_et_Sahle-Work_Zewde_%C3%A0_UNON%2C_Nairobi%2C_Kenya_%28cropped%29.jpg",""
"Salome Zurabishvili","Georgia","President","16 December 2018","Incumbent","1 year, 12 days","Head of state","Salome Zourabichvili (Georgian: სალომე ზურაბიშვილი, [sɑlɔˈmɛ zurɑbiʃˈvili]; born 18 March 1952) is a Georgian politician and former French diplomat who currently serves as the 5th President of Georgia, in office since December 2018. She is the first woman to be elected as Georgia's president, a position she will occupy for a term of six years. As a result of constitutional changes coming into effect in 2024, Zourabichvili is expected to be Georgia's last popularly elected president; all future heads of state are to be elected indirectly by an electoral college.","//upload.wikimedia.org/wikipedia/commons/thumb/8/82/Salome_Zourabichvili_and_Antonio_Tajani_%28cropped%29.jpg/220px-Salome_Zourabichvili_and_Antonio_Tajani_%28cropped%29.jpg",""
"Brigitte Bierlein","Austria","Chancellor","3 June 2019","Incumbent","208 days","Head of government","Brigitte Bierlein (German: [bʁiˈɡɪtə ˈbiːɐ̯laɪ̯n]; born 25 June 1949) is an Austrian jurist who served as interim chancellor of Austria from June 2019 to January 2020. An Independent, she was the advocate general of the Procurator's Office – essentially the country's chief public prosecutor – from 1990 to 2002, as well as a member of the executive board of the International Association of Prosecutors from 2001 to 2003. In 2003, Bierlein was made a member of the Constitutional Court. Between January 2018 and June 2019, she served as President of the Constitutional Court, the first woman to hold the position. ","https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Europaforum_Wachau-2019_1188_%28cropped%29.JPG/330px-Europaforum_Wachau-2019_1188_%28cropped%29.JPG",""
"Maia Sandu","Moldova","Prime Minister","8 June 2019","14 November 2019","159 days","Head of government","Maia Sandu (born 24 May 1972) is a Moldovan politician, the current leader of the Party of Action and Solidarity (PAS), and former Prime Minister of Moldova (from 8 June 2019 until 14 November 2019). On 12 November 2019,Maia Sandu's government fell after the vote of the censure motion. 63 of the 101 MPs voted the motion submitted by the PSRM. The motion was voted by PSRM and PDM, the party founded by Vlad Plahotniuc. ","//upload.wikimedia.org/wikipedia/commons/thumb/7/70/Maia_Sandu_%282019%29.jpg/220px-Maia_Sandu_%282019%29.jpg",""
"Zuzana Čaputová","Slovakia","President","15 June 2019","Incumbent","196 days","Head of state","Zuzana Čaputová (Slovak pronunciation: [ˈzuzana ˈtʃaputɔʋaː]; née Strapáková; born 21 June 1973) is a Slovak politician, lawyer, and environmental activist who has been President of Slovakia since 15 June 2019. Čaputová is the first woman to hold the presidency, as well as the youngest president in the history of Slovakia, elected at the age of 45.","//upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Zuzana_%C4%8Caputov%C3%A1_%2820.6.2019%29VII.jpg/220px-Zuzana_%C4%8Caputov%C3%A1_%2820.6.2019%29VII.jpg",""
"Mette Frederiksen","Denmark","Prime Minister","27 June 2019","Incumbent","184 days","Head of government","Mette Frederiksen (Danish pronunciation: [mɛtə ˈfʁɛðʁɛksn̩]; born 19 November 1977) is a Danish politician who has been Prime Minister of Denmark since June 2019 and Leader of the Social Democrats since June 2015. The second woman to hold either office, she is also the youngest Prime Minister in Danish history. ","//upload.wikimedia.org/wikipedia/commons/thumb/0/03/20190614_Folkemodet_Bornholm_Mette_Frederiksen_Socialdemokratiet_0285_%2848063468172%29_%28cropped%29.jpg/220px-20190614_Folkemodet_Bornholm_Mette_Frederiksen_Socialdemokratiet_0285_%2848063468172%29_%28cropped%29.jpg",""
"Sophie Wilmès","Belgium","Prime Minister","27 October 2019","Incumbent","62 days","Head of government","Sophie Wilmès (French: [wilmɛːs]; born 15 January 1975) is a Belgian politician  who currently serves as Prime Minister of Belgium. She is the first female head of government of Belgium.","//upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Sophie_Wilm%C3%A8s.jpg/220px-Sophie_Wilm%C3%A8s.jpg",""
"Jeanine Áñez (de-facto)","Bolivia","Acting President","12 November 2019","Incumbent","46 days","Head of state and government","null","null",""
"Sanna Marin","Finland","Prime Minister","10 December 2019","Incumbent","18 days","Head of government","Sanna Mirella Marin (Finnish pronunciation: [ˈsɑnːɑ ˈmirelːɑ ˈmɑrin]) (born 16 November 1985) is a Finnish politician who has been serving as the Prime Minister of Finland since 10 December 2019. A Social Democrat, she has been a member of the Parliament of Finland since 2015 and was the Minister of Transport and Communications between 6 June 2019 and 10 December 2019.","//upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Prime_Minister_of_Finland_Sanna_Marin_2019_%28cropped%29.jpg/220px-Prime_Minister_of_Finland_Sanna_Marin_2019_%28cropped%29.jpg",""
"Chandrika Kumaratunga","Sri Lanka","Prime Minister","19 August 1994","19 November 2005","11 years, 92 days","Head of state and government","Chandrika Bandaranaike Kumaratunga  (Sinhala: චන්ද්‍රිකා බණ්ඩාරනායක කුමාරතුංග,Tamil: சந்திரிகா பண்டாரநாயக்க குமாரதுங்க; born 29 June 1945) is a Sri Lankan politician who served as the fifth President of Sri Lanka, from 12 November 1994 to 19 November 2005. The country's only female president to date, she is the daughter of two former prime ministers and was the leader of the Sri Lanka Freedom Party (SLFP) until the end of 2005. In 2015 she was appointed as the chairperson of office for national unity and reconciliation.","//upload.wikimedia.org/wikipedia/commons/b/b3/Chandrika_Bandaranaike_Kumaratunga_As_The_President_of_Sri_Lanka.jpg",""
"Janet Jagan","Guyana","Prime Minister","17 March 1997","11 August 1999","2 years, 147 days","Head of state and government","Janet Rosenberg Jagan OE (October 20, 1920 – March 28, 2009) was the first female President of Guyana, serving from December 19, 1997, to August 11, 1999.  She previously served as the first female Prime Minister of Guyana from March 17, 1997, to December 19, 1997. The wife of Cheddi Jagan, whom she succeeded as president, she was awarded Guyana's highest national award, the Order of Excellence, in 1993, and the UNESCO Mahatma Gandhi Gold Medal for Women's Rights in 1998.","//upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Janet_Jagan.png/220px-Janet_Jagan.png",""
